Country,Mangroves,Latitude,Longitude,MIN_POINT_X,MAX_POINT_X,MIN_POINT_Y,MAX_POINT_Y
Faroe Islands,0,62.06919602,-6.890424372,-7.683333397,-6.245833397,61.39374924,62.39166641
Federated States of Micronesia,1,7.081244351,154.6491748,137.4252777,163.035553,1.025277018,10.09062386
Gabon,1,-0.623356942,11.78498889,8.699028015,14.50234604,-3.990695,2.315644502
United Kingdom,0,54.16473397,-2.895751078,-13.69139004,1.764168024,49.86541748,61.52708435
Georgia,0,42.17697643,43.51927205,40.0111084,46.72135925,41.03851318,43.58454132
Guernsey,0,49.48593257,-2.514771362,-2.678194046,-2.155694961,49.39958191,49.73597336
Ghana,1,7.966776748,-1.210711246,-3.255419016,1.191769958,4.738750934,11.17329979
Gibraltar,0,36.13650289,-5.349237521,-5.367640018,-5.338471889,36.10847092,36.15715408
Guinea,1,10.43625355,-10.93695955,-15.07625008,-7.641070843,7.193552971,12.69151688
Guadeloupe,1,16.19767939,-61.53930515,-61.8101387,-61.00013733,15.83152676,16.51486206
Gambia,1,13.45148236,-15.37290984,-16.81736183,-13.79092789,13.0646553,13.82688999
Guinea-Bissau,1,12.01462385,-14.98234586,-16.71489143,-13.63652039,10.86430645,12.68544006
Equatorial Guinea,1,1.701663449,10.33233101,5.61644125,11.33743668,-1.46763897,3.788749933
Greece,0,39.04155471,22.98606231,19.37235832,29.64569664,34.8006897,41.74800873
Grenada,1,12.15336363,-61.65864498,-61.80208206,-61.3781929,11.98430538,12.54013824
Greenland,0,74.6772381,-41.48558671,-101.882019,-0.013020861,54.76960373,83.65833282
Guatemala,1,15.69756412,-90.35465741,-92.2223587,-88.22566986,13.7382822,17.81871414
French Guiana,1,3.930452074,-53.23095125,-54.54182434,-51.60593033,2.128722906,5.751805782
Guam,1,13.44339326,144.7769508,144.6179199,144.9569397,13.23426056,13.65432358
Guyana,1,4.793326897,-58.97967278,-61.38691711,-56.48025131,1.176766991,8.530921936
Hong Kong,1,22.3811208,114.1349649,113.8345871,114.4409714,22.15319443,22.56209373
Heard Island and McDonald Islands,0,-53.09260553,73.51061832,72.58264923,73.87325287,-53.19499969,-52.90214539
Honduras,1,14.81824818,-86.61620049,-89.35079193,-82.40569305,12.98453999,17.41847229
Croatia,0,45.02691678,16.39062146,13.48958206,19.43517685,42.38542557,46.55051804
Haiti,1,18.93738747,-72.68393908,-74.48124695,-71.6181488,18.02180481,20.09041595
Hungary,0,47.16732303,19.41404386,16.11104965,22.90558434,45.74782944,48.58637619
